date,file,house,bill,state,chamber
Apr-61,jpi_October_1962.pdf,Jammu and Kashmir Legislature,"A Bill further to amend the Jammu and Kashmir Land Grants Act, 1960.",Jammu And Kashmir,Legislature
Apr-61,jpi_October_1962.pdf,Jammu and Kashmir Legislature,"A Bill further to amend the Jammu and Kashmir Tenancy Act, Samvat 1980.",Jammu And Kashmir,Legislature
Apr-61,jpi_October_1962.pdf,Jammu and Kashmir Legislature,"A Bill further to amend the State Land Acquisition Act, Samvat 1990.",Jammu And Kashmir,Legislature
Apr-61,jpi_October_1962.pdf,Jammu and Kashmir Legislature,"A Bill further to amend the Registration Act, Samvat 1977.",Jammu And Kashmir,Legislature
Apr-61,jpi_October_1962.pdf,Jammu and Kashmir Legislature,"A Bill further to amend the Stamp Act, Samvat 1977.",Jammu And Kashmir,Legislature
Apr-61,jpi_October_1962.pdf,Jammu and Kashmir Legislature,"A Bill further to amend the Legal Practitioners Act, Samvat 1977.",Jammu And Kashmir,Legislature
Apr-61,jpi_October_1962.pdf,Jammu and Kashmir Legislature,"A Bill further to amend the Jammu and Kashmir Representation of the People Act, 1957.",Jammu And Kashmir,Legislature
Apr-61,jpi_October_1962.pdf,Jammu and Kashmir Legislature,"A Bill further to amend the Jammu and Kashmir Motor Vehicles Act, Samvat 1998.",Jammu And Kashmir,Legislature
Apr-61,jpi_October_1962.pdf,Kerala Legislature,"The Kerala Buildings (Lease and Rent Control) Amendment Bill, 1962.",Kerala,Legislature
Apr-61,jpi_October_1962.pdf,Kerala Legislature,"The Kerala Agrarian Relations (Amendment) Bill, 1962.",Kerala,Legislature
Apr-61,jpi_October_1962.pdf,Kerala Legislature,"The Kerala Ryotwari Tenants Protection Bill, 1962.",Kerala,Legislature
Apr-61,jpi_October_1962.pdf,Kerala Legislature,"The Kerala Local Authorities Laws (Amendment) Bill, 1962.",Kerala,Legislature
Apr-61,jpi_October_1962.pdf,Kerala Legislature,"The Kerala Enquiries and Summonses (Amendment) Bill, 1962.",Kerala,Legislature
Apr-61,jpi_October_1962.pdf,Madhya Pradesh Legislature,"The Madhya Pradesh Panchayats Bill, 1960.",Madhya Pradesh,Legislature
Apr-61,jpi_October_1962.pdf,Madhya Pradesh Legislature,"The Madhya Pradesh Land Revenue Code (Amendment) Bill, 1962.",Madhya Pradesh,Legislature
Apr-61,jpi_October_1962.pdf,Madhya Pradesh Legislature,"The Madhya Pradesh Agricultural Cattle Preservation (Second Amendment) Bill, 1962.",Madhya Pradesh,Legislature
Apr-61,jpi_October_1962.pdf,Madhya Pradesh Legislature,"The Madhya Pradesh Prevention of Cruelty to Animals Laws (Repealing) Bill, 1962.",Madhya Pradesh,Legislature
Apr-61,jpi_October_1962.pdf,Madhya Pradesh Legislature,"The Madhya Pradesh Temporary Postponement of Execution of Decrees (Extension of Duration) Bill, 1962.",Madhya Pradesh,Legislature
Apr-61,jpi_October_1962.pdf,Maharashtra Legislature,"The Bombay State Guarantees (Amendment) Bill, 1962.",Maharashtra,Legislature
Apr-61,jpi_October_1962.pdf,Maharashtra Legislature,"The Bombay Public Trusts (Amendment) Bill, 1962.",Maharashtra,Legislature
Apr-61,jpi_October_1962.pdf,Maharashtra Legislature,"The Maharashtra Zilla Parishads and Panchayat Samitis (Amendment) Bill, 1962.",Maharashtra,Legislature
Apr-61,jpi_October_1962.pdf,Maharashtra Legislature,"The Bombay Colleges of Agriculture and Agricultural Research Institute (Regulation of Establishment) Bill, 1962.",Maharashtra,Legislature
Apr-61,jpi_October_1962.pdf,Maharashtra Legislature,"The Bombay Sales Tax (Amendment) Bill, 1962.",Maharashtra,Legislature
Apr-61,jpi_October_1962.pdf,Maharashtra Legislature,"The Bombay Motor Vehicles (Taxation of Passengers) (Amendment) Bill, 1962.",Maharashtra,Legislature
Apr-61,jpi_October_1962.pdf,Maharashtra Legislature,"The Bombay Entertainments Duty (Amendment) Bill, 1962.",Maharashtra,Legislature
Apr-61,jpi_October_1962.pdf,Maharashtra Legislature,"The Maharashtra Tax on Goods (Carried by Road) Bill, 1962.",Maharashtra,Legislature
Apr-61,jpi_October_1962.pdf,Maharashtra Legislature,"The Bombay Electricity Duty (Amendment) Bill, 1962.",Maharashtra,Legislature
Apr-61,jpi_October_1962.pdf,Maharashtra Legislature,"The Bombay Stamp (Increase of Duties and Amendment) Bill, 1962.",Maharashtra,Legislature
Apr-61,jpi_October_1962.pdf,Maharashtra Legislature,"The Urban Immovable Property Tax (Abolition) and General Tax (Increase of Maximum Rate) Bill, 1962.",Maharashtra,Legislature
Apr-61,jpi_October_1962.pdf,Maharashtra Legislature,"The Maharashtra Purchase Tax on Sugarcane Bill, 1962.",Maharashtra,Legislature
Apr-61,jpi_October_1962.pdf,Maharashtra Legislature,"The Maharashtra Appropriation Bill, 1962.",Maharashtra,Legislature
Apr-61,jpi_October_1962.pdf,Maharashtra Legislature,"The Maharashtra Appropriation (Vote on Account) Bill, 1962.",Maharashtra,Legislature
Apr-61,jpi_October_1962.pdf,Maharashtra Legislature,"The Maharashtra (Supplementary) Appropriation Bill, 1962.",Maharashtra,Legislature
Apr-61,jpi_October_1962.pdf,Maharashtra Legislature,"The Maharashtra Provisional Collection of Taxes Bill, 1962.",Maharashtra,Legislature
Apr-61,jpi_October_1962.pdf,Mysore Legislature,"The Mysore Additional Deputy Commissioners (Appointment and Powers) Bill, 1962.",Karnataka,Legislature
Apr-61,jpi_October_1962.pdf,Mysore Legislature,"The Mysore Preservation of Private Forests Bill, 1962.",Karnataka,Legislature
Apr-61,jpi_October_1962.pdf,Mysore Legislature,"The Mysore Appropriation Bill, 1962.",Karnataka,Legislature
Apr-61,jpi_October_1962.pdf,Mysore Legislature,"The Mysore Appropriation (Vote on Account) Bill, 1962.",Karnataka,Legislature
Apr-61,jpi_October_1962.pdf,Orissa Legislature,"The Orissa Hereditary Village Officers (Abolition) Bill, 1962.",Odisha,Legislature
Apr-61,jpi_October_1962.pdf,Orissa Legislature,"The Orissa Estates Abolition (Amendment) Bill, 1962.",Odisha,Legislature
Apr-61,jpi_October_1962.pdf,Orissa Legislature,"The Orissa Dramatic Performances Bill, 1962.",Odisha,Legislature
Apr-61,jpi_October_1962.pdf,Orissa Legislature,"The Orissa Prevention of Private Forests (Amendment) Bill, 1962.",Odisha,Legislature
Apr-61,jpi_October_1962.pdf,Orissa Legislature,"The Orissa Survey and Settlement (Amendment) Bill, 1962.",Odisha,Legislature
Apr-61,jpi_October_1962.pdf,Orissa Legislature,"The Orissa Hydro-Electric Projects and Flood Control Works (Survey) (Amendment)Bill, 1962",Odisha,Legislature
Apr-61,jpi_October_1962.pdf,Orissa Legislature,"The Orissa Requisitioning and Acquisition of Immovable Property (Amendment) Bill, 1962.",Odisha,Legislature
Apr-61,jpi_October_1962.pdf,Orissa Legislature,"The Orissa Cess Bill, 1962.",Odisha,Legislature
Apr-61,jpi_October_1962.pdf,Orissa Legislature,"The Orissa Re-enacting Bill, 1962.",Odisha,Legislature
Apr-61,jpi_October_1962.pdf,Orissa Legislature,"The Indian Penal Code and the Code of Criminal Procedure (Orissa Amendment) Bill, 1962.",Odisha,Legislature
Apr-61,jpi_October_1962.pdf,Rajasthan Legislature,"The Rajasthan Agricultural University Bill, 1962.",Rajasthan,Legislature
Apr-61,jpi_October_1962.pdf,Rajasthan Legislature,"The Rajasthan Secondary Education (Amendment) Bill, 1962.",Rajasthan,Legislature
Apr-61,jpi_October_1962.pdf,Rajasthan Legislature,"The Jodhpur University Bill, 1963.",Rajasthan,Legislature
Apr-61,jpi_October_1962.pdf,Rajasthan Legislature,"The Rajasthan Relief of Agricultural Indebtedness (Amendment) Bill, 1962.",Rajasthan,Legislature
Apr-61,jpi_October_1962.pdf,Rajasthan Legislature,"The Rajasthan Tenancy (Amendment) Bill, 1962.",Rajasthan,Legislature
Apr-61,jpi_October_1962.pdf,Rajasthan Legislature,"The Rajasthan Municipalities (Amendment) Bill, 1962.",Rajasthan,Legislature
Apr-61,jpi_October_1962.pdf,Rajasthan Legislature,"The Rajasthan Urban Improvement (Amendment) Bill, 1962.",Rajasthan,Legislature
Apr-61,jpi_October_1962.pdf,Rajasthan Legislature,"The Rajasthan Divisional Commissioner (Office Abolition) Bill, 1962.",Rajasthan,Legislature
Apr-61,jpi_October_1962.pdf,Rajasthan Legislature,"The Rajasthan Area Tehsils (Continued Existence) Validating Bill, 1962.",Rajasthan,Legislature
Apr-61,jpi_October_1962.pdf,Rajasthan Legislature,"The Rajasthan Finance Bill, 1962.",Rajasthan,Legislature
Apr-61,jpi_October_1962.pdf,Rajasthan Legislature,"The Rajasthan Electricity (Duty) Bill, 1962.",Rajasthan,Legislature
Apr-61,jpi_October_1962.pdf,Rajasthan Legislature,"The Rajasthan Appropriation (Vote on Account) Bill, 1962.",Rajasthan,Legislature
Apr-61,jpi_October_1962.pdf,Rajasthan Legislature,"The Rajasthan Appropriation (No. 1) Bill, 1962.",Rajasthan,Legislature
Apr-61,jpi_October_1962.pdf,Rajasthan Legislature,"The Rajasthan Appropriation (No. 2) Bill, 1962.",Rajasthan,Legislature
Apr-61,jpi_October_1962.pdf,Rajasthan Legislature,"The Rajasthan Sales of Motor Spirit Taxation (Amendment) Bill, 1962.",Rajasthan,Legislature
Oct-61,jpi_July_1963.pdf,Andhra Pradesh Legislature,"The Andhra Pradesh Telangana (Area) Gram Panchayats (Amendment) Bill, 1962",Andhra Pradesh,Legislature
Oct-61,jpi_July_1963.pdf,Andhra Pradesh Legislature,"The Andhra Pradesh Panchayat Samities and Zila Parishads (Amendment) Bill, 1962",Andhra Pradesh,Legislature
Oct-61,jpi_July_1963.pdf,Bihar Legislature,"The Bihar Electricity (Temporary Control) (Amendment) Bill, 1962",Bihar,Legislature
Oct-61,jpi_July_1963.pdf,Bihar Legislature,"The Bihar District Boards and Local Boards (Control and Management) (Amendment) Bill, 1962",Bihar,Legislature
Oct-61,jpi_July_1963.pdf,Bihar Legislature,"The Bihar Maintenance of Public Order (Amendment) Bill, 1962",Bihar,Legislature
Oct-61,jpi_July_1963.pdf,Gujarat Legislature,"The Gujarat Local Authorities Laws (Amendment) Bill, 1962",Gujarat,Legislature
Oct-61,jpi_July_1963.pdf,Gujarat Legislature,"The Bombay Merged Territories and Areas (Jagirs Abolition) (Gujarat Amendment) Bill, 1962",Gujarat,Legislature
Oct-61,jpi_July_1963.pdf,Gujarat Legislature,"The Bombay Public Trusts (Gujarat Amendment) Bill, 1962",Gujarat,Legislature
Oct-61,jpi_July_1963.pdf,Gujarat Legislature,"The Gujarat Municipalities (Extension of Term) Bill, 1962",Gujarat,Legislature
Oct-61,jpi_July_1963.pdf,Gujarat Legislature,"The Bombay Police (Gujarat Amendment) Bill, 1962",Gujarat,Legislature
Oct-61,jpi_July_1963.pdf,Gujarat Legislature,"The Gujarat Panchayats (Amendment) Bill, 1962",Gujarat,Legislature
Oct-61,jpi_July_1963.pdf,Gujarat Legislature,"Gujarat Municipal Laws (Amendment) Bill, 1962",Gujarat,Legislature
Oct-61,jpi_July_1963.pdf,Gujarat Legislature,"The Gujarat Local Authorities (Extension of Term) Bill, 1962",Gujarat,Legislature
Oct-61,jpi_July_1963.pdf,Gujarat Legislature,"The Saurashtra Rent Control (Gujarat Amendment) Bill, 1962",Gujarat,Legislature
Oct-61,jpi_July_1963.pdf,Gujarat Legislature,"The Gujarat Panchayats (Suspension of Provisions and Reconversion of Certain Local Areas into Municipal Districts) Bill, 1962",Gujarat,Legislature
Oct-61,jpi_July_1963.pdf,Gujarat Legislature,"The Bombay Village Panchayats (Gujarat Amendment) Bill, 1962",Gujarat,Legislature
Oct-61,jpi_July_1963.pdf,Gujarat Legislature,"The Gujarat Panchayats (Amendment) Bill, 1962",Gujarat,Legislature
Oct-61,jpi_July_1963.pdf,Jammu & Kashmir Legislature,"A Bill further to amend the Jammu & Kashmir Ministers' and Ministers of State Salaries Act, 1956",Jammu And Kashmir,Legislature
Oct-61,jpi_July_1963.pdf,Kerala Legislature,"The Kerala Municipalities (Amendment) Bill, 1962",Kerala,Legislature
Oct-61,jpi_July_1963.pdf,Madhya Pradesh Legislature,"The Madhya Pradesh Panchayats (Amendment) Bill, 1962",Madhya Pradesh,Legislature
Oct-61,jpi_July_1963.pdf,Madhya Pradesh Legislature,"The Madhya Pradesh Public Security (Amendment) Bill, 1962",Madhya Pradesh,Legislature
Oct-61,jpi_July_1963.pdf,Madhya Pradesh Legislature,"The Madhya Pradesh Local Authorities (Postponement of Elections) Bill, 1962",Madhya Pradesh,Legislature
Oct-61,jpi_July_1963.pdf,Madras Legislature,"The Madras City Municipal Corporation and District Municipalities (Amendment) Bill, 1962",Tamil Nadu,Legislature
Oct-61,jpi_July_1963.pdf,Madras Legislature,"The Madras Local Authorities (Extension of Term of Office of Members) Bill, 1962",Tamil Nadu,Legislature
Oct-61,jpi_July_1963.pdf,Madras Legislature,"The Madras (Allied Territories) Extension of Laws Bill, 1962",Tamil Nadu,Legislature
Oct-61,jpi_July_1963.pdf,Mysore Legislature,"The Destruction of Records (Mysore Extension and Amendment) Bill, 1962",Karnataka,Legislature
Oct-61,jpi_July_1963.pdf,Mysore Legislature,"The Mysore Home Guards Bill, 1962",Karnataka,Legislature
Oct-61,jpi_July_1963.pdf,Mysore Legislature,"The Mysore Municipal Laws (Amendment) Bill, 1962",Karnataka,Legislature
Oct-61,jpi_July_1963.pdf,Orissa Legislature,"The Orissa Panchayat Samiti and Zila Parishad (Amendment & Validation) Bill, 1962",Odisha,Legislature
Oct-61,jpi_July_1963.pdf,Orissa Legislature,"The Orissa Merged States (Laws) Amendment Bill, 1962",Odisha,Legislature
Oct-61,jpi_July_1963.pdf,Orissa Legislature,"The Orissa Tenants Relief (Amendment) Bill, 1962",Odisha,Legislature
Oct-61,jpi_July_1963.pdf,Orissa Legislature,"The Public Demands Recovery Bill, 1962",Odisha,Legislature
Oct-61,jpi_July_1963.pdf,Orissa Legislature,"The Orissa Local Bodies (Suspension of Elections) Bill, 1962",Odisha,Legislature
Oct-61,jpi_July_1963.pdf,Orissa Legislature,"The Orissa Co-operative Societies Bill, 1962",Odisha,Legislature
Oct-61,jpi_July_1963.pdf,Rajasthan Legislature,"The Rajasthan Municipalities (Second Amendment) Bill, 1962",Rajasthan,Legislature
Oct-61,jpi_July_1963.pdf,Rajasthan Legislature,"The Rajasthan Laws Repealing and Amending Bill, 1962",Rajasthan,Legislature
Oct-61,jpi_July_1963.pdf,Rajasthan Legislature,"The Rajasthan Veterinary Practitioners Bill, 1962",Rajasthan,Legislature
Oct-61,jpi_July_1963.pdf,Uttar Pradesh Legislature,"The U.P. Slum Areas (Improvement and Clearance) Bill, 1962",Uttar Pradesh,Legislature
Oct-61,jpi_July_1963.pdf,Uttar Pradesh Legislature,"The U.P. Hindu Public Religious Institutions (Prevention of Dissipation of Properties) (Temporary Powers) Bill, 1962",Uttar Pradesh,Legislature
Oct-61,jpi_July_1963.pdf,Uttar Pradesh Legislature,"The Uttar Pradesh Panchayat Raj (Amendment) Bill, 1961",Uttar Pradesh,Legislature
Oct-61,jpi_July_1963.pdf,Uttar Pradesh Legislature,"The Prisons (Uttar Pradesh Sanshodhan) Vidheyik, 1962",Uttar Pradesh,Legislature
Oct-61,jpi_July_1963.pdf,Uttar Pradesh Legislature,"The Uttar Pradesh Kshettra Samitis and Zila Parishads (Sanshodhan) Vidheyak, 1962",Uttar Pradesh,Legislature
Oct-61,jpi_July_1963.pdf,Uttar Pradesh Legislature,"The Uttar Pradesh Shops and Commercial Establishments Bill, 1962",Uttar Pradesh,Legislature
Oct-61,jpi_July_1963.pdf,Uttar Pradesh Legislature,"The Uttar Pradesh Weights and Measures (Enforcement Amendment) Bill, 1962",Uttar Pradesh,Legislature
Apr-62,jpi_1964.pdf,Andhra Pradesh Legislature,"The Andhra Pradesh Gram Panchayats Bill, 1962.",Andhra Pradesh,Legislature
Apr-62,jpi_1964.pdf,Andhra Pradesh Legislature,"The Andhra Pradesh Prevention of Couching Bill, 1963.",Andhra Pradesh,Legislature
Apr-62,jpi_1964.pdf,Bihar Legislature,"The Bihar District Boards and Local Boards (Control and Management) (Amendment) Bill, 1963.",Bihar,Legislature
Apr-62,jpi_1964.pdf,Bihar Legislature,"The Bihar Panchayat Raj (Amendment) Bill, 1963.",Bihar,Legislature
Apr-62,jpi_1964.pdf,Bihar Legislature,"The Societies Registration (Bihar Amendment) Bill, 1963.",Bihar,Legislature
Apr-62,jpi_1964.pdf,Bihar Legislature,"The Bihar Provincialisation of Roads and Hospitals (Amendment) Bill, 1963.",Bihar,Legislature
Apr-62,jpi_1964.pdf,Gujarat Legislature,"The Gujarat State Guarantees Bill, 1963.",Gujarat,Legislature
Apr-62,jpi_1964.pdf,Gujarat Legislature,"The Bombay Public Trusts (Gujarat Amendment) Bill, 1963.",Gujarat,Legislature
Apr-62,jpi_1964.pdf,Gujarat Legislature,"The Gujarat Panchayat Laws (Amendment) Bill, 1963.",Gujarat,Legislature
Apr-62,jpi_1964.pdf,Gujarat Legislature,"The Bombay Public Conveyances (Gujarat Amendment) Bill, 1963.",Gujarat,Legislature
Apr-62,jpi_1964.pdf,Gujarat Legislature,"The Gujarat Local Authorities (Extension of Term) (Repeal) and the Gujarat Panchayats (Amendment) Bill, 1963.",Gujarat,Legislature
Apr-62,jpi_1964.pdf,Gujarat Legislature,"The Gujarat Panchayats (Second Amendment) Bill, 1963.",Gujarat,Legislature
Apr-62,jpi_1964.pdf,Gujarat Legislature,"The Bombay Police (Gujarat Amendment) Bill, 1963.",Gujarat,Legislature
Apr-62,jpi_1964.pdf,Gujarat Legislature,"The Gujarat Panchayats (Third Amendment) Bill, 1963.",Gujarat,Legislature
Apr-62,jpi_1964.pdf,Gujarat Legislature,"The Gujarat State Guarantees (Amendment) Bill, 1963.",Gujarat,Legislature
Apr-62,jpi_1964.pdf,Gujarat Legislature,"The Bombay Non-Trading Corporations (Gujarat Amendment) Bill, 1963.",Gujarat,Legislature
Apr-62,jpi_1964.pdf,Gujarat Legislature,"The Gujarat Local Fund Audit Bill, 1963.",Gujarat,Legislature
Apr-62,jpi_1964.pdf,Kerala Legislature,"The Kerala Police (Amendment) Bill, 1963.",Kerala,Legislature
Apr-62,jpi_1964.pdf,Kerala Legislature,"The Kerala Municipalities (Second Amendment) Bill, 1963.",Kerala,Legislature
Apr-62,jpi_1964.pdf,Kerala Legislature,"The Kerala Public Servants (Inquiries) Bill, 1962.",Kerala,Legislature
Apr-62,jpi_1964.pdf,Kerala Legislature,"The Kerala Identification of Prisoners Bill, 1963.",Kerala,Legislature
Apr-62,jpi_1964.pdf,Kerala Legislature,"The Kerala Public Service Commission (Additional Functions) Bill, 1963.",Kerala,Legislature
Apr-62,jpi_1964.pdf,Kerala Legislature,"The Kerala Money Lenders (Amendment) Bill, 1962.",Kerala,Legislature
Apr-62,jpi_1964.pdf,Kerala Legislature,"The Kerala Public Accountants Bill, 1962.",Kerala,Legislature
Apr-62,jpi_1964.pdf,Madhya Pradesh Legislature,"The Madhya Pradesh Panchayats (Amendment and Validation) Bill, 1963.",Madhya Pradesh,Legislature
Apr-62,jpi_1964.pdf,Madhya Pradesh Legislature,"The Madhya Pradesh Town Improvement Trusts (Amendment) Bill, 1963.",Madhya Pradesh,Legislature
Apr-62,jpi_1964.pdf,Madhya Pradesh Legislature,"The Madhya Pradesh Municipal Corporation (Amendment) Bill, 1963.",Madhya Pradesh,Legislature
Apr-62,jpi_1964.pdf,Madhya Pradesh Legislature,"The Madhya Pradesh Town Area (Amendment) Bill, 1963.",Madhya Pradesh,Legislature
Apr-62,jpi_1964.pdf,Madhya Pradesh Legislature,"The Madhya Pradesh Municipalities (Amendment) Bill, 1963.",Madhya Pradesh,Legislature
Apr-62,jpi_1964.pdf,Madhya Pradesh Legislature,"The Madhya Pradesh Local Authorities (Postponement of Elections) Repealing Bill, 1963.",Madhya Pradesh,Legislature
Apr-62,jpi_1964.pdf,Madras Legislature,"The Madras Home Guard Bill, 1963.",Tamil Nadu,Legislature
Apr-62,jpi_1964.pdf,Madras Legislature,"The Madras District Police (Amendment) Bill, 1963.",Tamil Nadu,Legislature
Apr-62,jpi_1964.pdf,Madras Legislature,"The Madras Municipal Authorities (Term of Office and Election of Councillors) Bill, 1963.",Tamil Nadu,Legislature
Apr-62,jpi_1964.pdf,Maharashtra Legislature,"The Bombay Municipal Corporation (Amendment) Bill, 1963.",Maharashtra,Legislature
Apr-62,jpi_1964.pdf,Maharashtra Legislature,"The Bombay State Guarantees (Amendment) Bill, 1963.",Maharashtra,Legislature
Apr-62,jpi_1964.pdf,Maharashtra Legislature,"The Hyderabad District Municipalities (Maharashtra Amendment) Bill, 1963.",Maharashtra,Legislature
Apr-62,jpi_1964.pdf,Maharashtra Legislature,"The Maharashtra Local Authorities (Postponement of Elections for the Duration of the Emergency) (Repeal) Bill, 1963.",Maharashtra,Legislature
Apr-62,jpi_1964.pdf,Maharashtra Legislature,"The Hyderabad District Municipalities (Maharashtra Second Amendment) Bill, 1963.",Maharashtra,Legislature
Apr-62,jpi_1964.pdf,Maharashtra Legislature,"The Maharashtra Removal of Disqualifications (of Holders of Offices in Cooperative Societies) Bill, 1963.",Maharashtra,Legislature
Apr-62,jpi_1964.pdf,Maharashtra Legislature,"The Maharashtra Zilla Parishads and Panchayat Samitis (Amendment) Bill, 1963.",Maharashtra,Legislature
Apr-62,jpi_1964.pdf,Maharashtra Legislature,"The Bombay Provincial Municipal Corporations (Amendment) Bill, 1963.",Maharashtra,Legislature
Apr-62,jpi_1964.pdf,Maharashtra Legislature,"The Bombay Service Inams (Useful to Community) Abolition (Amendment) Bill, 1963.",Maharashtra,Legislature
Apr-62,jpi_1964.pdf,Maharashtra Legislature,"The Bombay Public Trusts (Amendment) Bill, 1963.",Maharashtra,Legislature
Apr-62,jpi_1964.pdf,Maharashtra Legislature,"The Bombay Municipal Corporation (Third Amendment) Bill, 1963.",Maharashtra,Legislature
Apr-62,jpi_1964.pdf,Mysore Legislature,"The Mysore Cable Trespass Bill, 1960.",Karnataka,Legislature
Apr-62,jpi_1964.pdf,Mysore Legislature,"The Mysore Police Bill, 1963.",Karnataka,Legislature
Apr-62,jpi_1964.pdf,Mysore Legislature,"The City of Bangalore Municipal Corporation (Amendment) Bill, 1963.",Karnataka,Legislature
Apr-62,jpi_1964.pdf,Mysore Legislature,"The Mysore Municipal Bill, 1963.",Karnataka,Legislature
Apr-62,jpi_1964.pdf,Mysore Legislature,"Robertsonpet Municipality Formation and Miscellaneous Provisions Bill, 1963.",Karnataka,Legislature
Apr-62,jpi_1964.pdf,Mysore Legislature,"The Mysore Prisons Bill, 1963.",Karnataka,Legislature
Apr-62,jpi_1964.pdf,Mysore Legislature,"The Mysore Prisoners Bill, 1962.",Karnataka,Legislature
Apr-62,jpi_1964.pdf,Mysore Legislature,"The Mysore Official Language Bill, 1963.",Karnataka,Legislature
Apr-62,jpi_1964.pdf,Orissa Legislature,"The Orissa Estates Abolition (Amendment) Bill, 1963.",Odisha,Legislature
Apr-62,jpi_1964.pdf,Orissa Legislature,"The Orissa Local Bodies (Suspension of Election) (Repeal) Bill, 1963.",Odisha,Legislature
Apr-62,jpi_1964.pdf,Orissa Legislature,"The Orissa Public Premises (Eviction of Unauthorised Occupants) (Amendment) Bill, 1963.",Odisha,Legislature
Apr-62,jpi_1964.pdf,Orissa Legislature,"The Orissa Panchayat Samiti and Zilla Parishad (Amendment) Bill, 1963.",Odisha,Legislature
Apr-62,jpi_1964.pdf,Orissa Legislature,"The Orissa Official Language (Amendment) Bill, 1963.",Odisha,Legislature
Apr-62,jpi_1964.pdf,Orissa Legislature,"The Orissa Revenue Administration (Units) Bill, 1963.",Odisha,Legislature
Apr-62,jpi_1964.pdf,Orissa Legislature,"The Orissa Merged Territories (Village Offices Abolition) Bill, 1962.",Odisha,Legislature
Apr-62,jpi_1964.pdf,Rajasthan Legislature,"The Rajasthan Municipalities (Amendment) Bill, 1963.",Rajasthan,Legislature
Apr-62,jpi_1964.pdf,Rajasthan Legislature,"The Rajasthan Home Guards Bill, 1962.",Rajasthan,Legislature
Apr-62,jpi_1964.pdf,Rajasthan Legislature,"The Rajasthan Public Trusts (Amendment) Bill, 1963.",Rajasthan,Legislature
